country,year,primary_energy_consumption,per_capita_energy,population,gdp,pm25_concentration,pm10_concentration,no2_concentration,num_cities_measured
Afghanistan,2019,47.112,1.2445013851787525e-06,37856125.0,73085701943.0,119.77,,,1
Albania,2014,25.747,8.866816266425323e-06,2903748.0,28597169040.0,,15.25,,1
Albania,2015,24.038,8.292871745794743e-06,2898634.0,29231663899.0,21.79,25.4675,18.585,5
Albania,2016,26.761,9.234720145983185e-06,2897868.0,30200694449.0,21.48,29.16,21.186666666666667,4
Albania,2017,29.29,1.0106115942579044e-05,2898245.0,31348975722.0,,,24.7,1
Albania,2019,24.898,8.630123074054137e-06,2885011.0,33289747424.0,10.32,,,1
Algeria,2019,694.349,1.6037791915199675e-05,43294551.0,589905104177.0,21.53,,,1
Argentina,2014,993.008,2.3080289171147937e-05,43024071.0,827750786191.0,10.11,,,1
Argentina,2015,1009.992,2.323048380671799e-05,43477011.0,850356641236.0,10.26,27.87,,1
Argentina,2016,1005.722,2.290922214858063e-05,43900312.0,832669278245.0,,26.88,15.35,1
Argentina,2017,996.988,2.2511013934011183e-05,44288898.0,856142153676.0,,25.4,19.57,1
Argentina,2018,986.055,2.2081687115198795e-05,44654876.0,833736983405.0,,24.4,16.6,1
Argentina,2019,925.658,2.058231265193263e-05,44973469.0,817053926667.0,,25.5,18.25,1
Australia,2010,1508.838,6.81449921624845e-05,22141583.0,993853968687.0,15.186666666666667,17.728333333333335,,9
Australia,2011,1558.602,6.933351079652519e-05,22479779.0,1024000293343.0,12.591666666666667,16.171666666666667,,9
Australia,2012,1536.113,6.721816220159694e-05,22852648.0,1062662906305.0,14.45,17.790000000000003,7.965,12
Australia,2013,1555.586,6.694645625367341e-05,23236271.0,1086068056518.0,9.940000000000001,18.134090909090908,12.176,27
Australia,2014,1566.458,6.638771916746e-05,23595599.0,1113888062929.0,7.48590909090909,17.728125,11.102857142857143,35
Australia,2015,1601.626,6.687933024210751e-05,23947997.0,1139303344945.0,7.1545000000000005,17.9115625,8.89,33
Australia,2016,1606.889,6.604568202590362e-05,24329963.0,1169967279612.0,6.845238095238095,16.717,10.221538461538461,32
Australia,2017,1602.028,6.477801745854319e-05,24731044.0,1197832839959.0,7.28,16.844,7.8999999999999995,5
Australia,2018,1625.908,6.47264099491634e-05,25119700.0,1231576952488.0,8.06,18.991999999999997,6.9366666666666665,5
Australia,2019,1680.293,6.59385417110595e-05,25482714.0,1255505542015.0,7.455,16.82536231884058,9.826666666666668,69
Austria,2010,421.558,5.039493313100031e-05,8365087.0,338832243101.0,18.35727272727273,23.107884615384613,22.098363636363636,115
Austria,2013,410.852,4.844146805289827e-05,8481411.0,352182904722.0,15.902173913043478,20.749895833333333,21.080654205607477,118
